"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Canada","CAN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1334495544434","","","","","49.3545188903809","","","","","","71.6934500854133","72.4626568579017","73.2967698439607","74.4628776088083","67.7451324462891","","77.6938969529575","78.1951320962919","79.2255899627965","79.4033889770508","80.5808185700987","81.2651154956689","81.8416260755718","82.6343912276864","82.7489929199219","83.5809403647013","84.3148771836703","84.7867676404273","85.311018515734","84.4691925048828","86.4637574349962","87.1723476899967","87.4373043734491","88.1384114499308","86.5175704956055","89.1743662135055","89.5703840585895","89.8715504702382","",
"Central Europe and the Baltics","CEB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","21.018030166626","","","","","","","","","","","","","","","","","","","","","","","82.5051079827871","81.5815055113866","79.8444681883128","78.851929549637","78.842688892995","79.1058326628825","78.9661416594489","79.0890797616452","83.2533726879818","82.6618483613412","82.2766318575162","82.8338125684416","82.7766577918303","83.1207526506269","83.5807909131454","84.4327535294807","82.7153778076172","81.7433471679688","81.6319427490234","82.4815521240234","85.1794450427913","84.6438522338867","85.1900100708008","84.5369110107422","84.830271864468","85.681770324707","86.6450271606445","86.870062106571","84.5048573551638","83.8835734864297","84.2772222135807","84.3823784776807","",
"Channel Islands","CHI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.9","","","45.9","50.0224189758301","","47.2","50.5686492919922","51.8613586425781","52.3","52.8601493835449","50.8061485290527","57.9416809165017","53.8420600891113","60.3100448821158","56.9636688232422","62.4565158145167","59.2311515808105","65.7721194585188","66.8381594272598","65.3","66.9972330056142","66.6","68.4254952608668","69.8416178051439","",
"China","CHN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","6.64788007736206","","","","","","","","","","","","","","","","","","13.8146864870906","","","","","","","","","","22.3159999847412","","","","","","","","","","31.7697906494141","","","","","",
"Cote d'Ivoire","CIV","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5190701911556","9.99058935250628","14.1761598587036","","10.2420784852343","","","","","16.8069095611572","","","","",
"Cameroon","CMR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1209292405097","","10.8721331946775","","","6.19027996063232","","","","21.1658493817117","","","","14.257869720459","","","","","","","",
"Congo, Dem. Rep.","COD","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0815597885552","","","","","","","","19.8470401763916","","","27.2640800476074","","25.2189807891846","","","","","30.3723297119141","","",
"Congo, Rep.","COG","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","8.77367973327637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9904499053955","","","","","","","","","","",
